Cod_setor;tipo.x;bairro;distrito;municipio.x;area.km²;prop_mata;prop_HAND;prop_imper;CLAS_VUL.y;prop_cultivo;prop_pastagem;q_prop_mata;q_prop_imper;q_prop_HAND;Usos.Assoc;Susc;Susc.n;q_prop_cultivo;q_prop_pastagem;VulSoeAm;VulSoeAm.n
314390605000005;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.08411491;0;0.33020186;1;3;0;0;1;2;2;3;5;1;NA;NA;4;2
314390605000006;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.09293059;0;0;1;1;0;0;1;2;1;3;4;1;NA;NA;2;1
314390605000007;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.03325475;0;0;1;2;0;0;1;2;1;3;4;1;NA;NA;3;1
314390605000008;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.10300278;0.00149491;0.04110996;0.99850519;3;0;0;3;2;2;5;7;3;NA;NA;6;3
314390605000009;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.09612812;0;0.6059047;1;1;0;0;1;2;2;3;5;1;NA;NA;2;1
314390605000010;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.02615691;0;0.98924185;1;2;0;0;1;2;3;3;6;2;NA;NA;4;2
314390605000011;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.03317702;0;0.97613619;1;3;0;0;1;2;3;3;6;2;NA;NA;5;3
314390605000012;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.02542636;0;0.96867188;1;3;0;0;1;2;3;3;6;2;NA;NA;5;3
314390605000013;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.02948446;0;1;0.9966596;3;0;0;1;2;3;3;6;2;NA;NA;5;3
314390605000014;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.00568214;0;1;1;1;0;0;1;2;3;3;6;2;NA;NA;3;1
314390605000015;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.014618;0;0.82098919;1;2;0;0;1;2;2;3;5;1;NA;NA;3;1
314390605000016;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.02999882;0;0.97166855;0.64373999;2;0;0;1;3;3;4;7;3;NA;NA;5;3
314390605000017;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.04114444;0;0.78908596;1;1;0;0;1;2;2;3;5;1;NA;NA;2;1
314390605000018;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.03552078;0;0;1;1;0;0;1;2;1;3;4;1;NA;NA;2;1
314390605000019;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.02992222;0;0.01973116;1;1;0;0;1;2;2;3;5;1;NA;NA;2;1
314390605000020;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.02807727;0;0.70607185;1;3;0;0;1;2;2;3;5;1;NA;NA;4;2
314390605000021;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.02281529;0;0;1;2;0;0;1;2;1;3;4;1;NA;NA;3;1
314390605000022;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.0410163;0;1.4141e-4;1;2;0;0;1;2;1;3;4;1;NA;NA;3;1
314390605000023;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.01854858;0;0;1;1;0;0;1;2;1;3;4;1;NA;NA;2;1
314390605000024;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.0366541;0;0.409537;1;2;0;0;1;2;2;3;5;1;NA;NA;3;1
314390605000025;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.01639283;0;0.10176827;1;2;0;0;1;2;2;3;5;1;NA;NA;3;1
314390605000026;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.02608663;0;0.25069317;1;3;0;0;1;2;2;3;5;1;NA;NA;4;2
314390605000027;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.03720205;0;0;1;2;0;0;1;2;1;3;4;1;NA;NA;3;1
314390605000028;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.14331882;0.04360844;0.93060032;0.71420529;2;0;0;3;2;3;5;8;3;NA;NA;5;3
314390605000029;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.03737433;0;0.10678586;1;2;0;0;1;2;2;3;5;1;NA;NA;3;1
314390605000030;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.02446584;0;0;1;2;0;0;1;2;1;3;4;1;NA;NA;3;1
314390605000031;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.01789119;0;0;1;2;0;0;1;2;1;3;4;1;NA;NA;3;1
314390605000032;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.04963704;0;0;1;3;0;0;1;2;1;3;4;1;NA;NA;4;2
314390605000033;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.07038476;0;0;1;1;0;0;1;2;1;3;4;1;NA;NA;2;1
314390605000034;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.0481499;0;0.00107477;1;1;0;0;1;2;1;3;4;1;NA;NA;2;1
